binned_coordinates,updated_type,updated_subtype,hour,Count,type_subtype,longitude,latitude
"(-87.64, 41.87)",Hazard,On Road,12,75,Hazard - On Road,-87.64,41.87
"(-87.62, 41.87)",Hazard,On Road,12,72,Hazard - On Road,-87.62,41.87
"(-87.66, 41.99)",Hazard,On Road,12,71,Hazard - On Road,-87.66,41.99
"(-87.65, 41.88)",Hazard,On Road,12,69,Hazard - On Road,-87.65,41.88
"(-87.66, 41.98)",Hazard,On Road,12,68,Hazard - On Road,-87.66,41.98
"(-87.67, 41.88)",Hazard,On Road,13,111,Hazard - On Road,-87.67,41.88
"(-87.66, 41.99)",Hazard,On Road,13,107,Hazard - On Road,-87.66,41.99
"(-87.71, 41.94)",Hazard,On Road,13,98,Hazard - On Road,-87.71,41.94
"(-87.63, 41.84)",Hazard,On Road,13,90,Hazard - On Road,-87.63,41.84
"(-87.7, 41.93)",Hazard,On Road,13,90,Hazard - On Road,-87.7,41.93
"(-87.64, 41.87)",Hazard,On Road,13,88,Hazard - On Road,-87.64,41.87
"(-87.65, 41.89)",Hazard,On Road,13,87,Hazard - On Road,-87.65,41.89
"(-87.63, 41.88)",Hazard,On Road,13,79,Hazard - On Road,-87.63,41.88
"(-87.69, 41.98)",Hazard,On Road,13,78,Hazard - On Road,-87.69,41.98
"(-87.75, 41.96)",Hazard,On Road,13,75,Hazard - On Road,-87.75,41.96
"(-87.66, 41.99)",Hazard,On Road,14,123,Hazard - On Road,-87.66,41.99
"(-87.67, 41.88)",Hazard,On Road,14,121,Hazard - On Road,-87.67,41.88
"(-87.62, 41.88)",Hazard,On Road,14,100,Hazard - On Road,-87.62,41.88
"(-87.74, 41.82)",Hazard,On Road,14,93,Hazard - On Road,-87.74,41.82
"(-87.68, 41.88)",Hazard,On Road,14,92,Hazard - On Road,-87.68,41.88
"(-87.64, 41.86)",Hazard,On Road,14,90,Hazard - On Road,-87.64,41.86
"(-87.65, 41.89)",Hazard,On Road,14,84,Hazard - On Road,-87.65,41.89
"(-87.75, 41.97)",Hazard,On Road,14,83,Hazard - On Road,-87.75,41.97
"(-87.63, 41.81)",Hazard,On Road,14,81,Hazard - On Road,-87.63,41.81
"(-87.63, 41.84)",Hazard,On Road,14,77,Hazard - On Road,-87.63,41.84
"(-87.71, 41.94)",Hazard,On Road,15,104,Hazard - On Road,-87.71,41.94
"(-87.66, 41.99)",Hazard,On Road,15,100,Hazard - On Road,-87.66,41.99
"(-87.67, 41.88)",Hazard,On Road,15,90,Hazard - On Road,-87.67,41.88
"(-87.65, 41.88)",Hazard,On Road,15,84,Hazard - On Road,-87.65,41.88
"(-87.68, 41.88)",Hazard,On Road,15,80,Hazard - On Road,-87.68,41.88
"(-87.62, 41.89)",Hazard,On Road,15,79,Hazard - On Road,-87.62,41.89
"(-87.64, 41.85)",Hazard,On Road,15,79,Hazard - On Road,-87.64,41.85
"(-87.63, 41.81)",Hazard,On Road,15,77,Hazard - On Road,-87.63,41.81
"(-87.65, 41.89)",Hazard,On Road,15,75,Hazard - On Road,-87.65,41.89
"(-87.75, 41.97)",Hazard,On Road,15,72,Hazard - On Road,-87.75,41.97
"(-87.66, 41.99)",Hazard,On Road,16,92,Hazard - On Road,-87.66,41.99
"(-87.64, 41.86)",Hazard,On Road,16,90,Hazard - On Road,-87.64,41.86
"(-87.65, 41.89)",Hazard,On Road,16,87,Hazard - On Road,-87.65,41.89
"(-87.64, 41.87)",Hazard,On Road,16,76,Hazard - On Road,-87.64,41.87
"(-87.74, 41.82)",Hazard,On Road,16,75,Hazard - On Road,-87.74,41.82
"(-87.61, 41.89)",Hazard,On Road,16,71,Hazard - On Road,-87.61,41.89
"(-87.63, 41.81)",Hazard,On Road,16,71,Hazard - On Road,-87.63,41.81
"(-87.65, 41.88)",Hazard,On Road,16,71,Hazard - On Road,-87.65,41.88
"(-87.62, 41.89)",Hazard,On Road,16,70,Hazard - On Road,-87.62,41.89
"(-87.68, 41.88)",Hazard,On Road,16,70,Hazard - On Road,-87.68,41.88
"(-87.67, 41.88)",Hazard,On Road,17,125,Hazard - On Road,-87.67,41.88
"(-87.65, 41.88)",Hazard,On Road,17,107,Hazard - On Road,-87.65,41.88
"(-87.62, 41.88)",Hazard,On Road,17,101,Hazard - On Road,-87.62,41.88
"(-87.64, 41.86)",Hazard,On Road,17,98,Hazard - On Road,-87.64,41.86
"(-87.65, 41.89)",Hazard,On Road,17,93,Hazard - On Road,-87.65,41.89
"(-87.74, 41.82)",Hazard,On Road,17,81,Hazard - On Road,-87.74,41.82
"(-87.66, 41.99)",Hazard,On Road,17,77,Hazard - On Road,-87.66,41.99
"(-87.63, 41.84)",Hazard,On Road,17,72,Hazard - On Road,-87.63,41.84
"(-87.69, 41.98)",Hazard,On Road,17,70,Hazard - On Road,-87.69,41.98
"(-87.71, 41.94)",Hazard,On Road,17,69,Hazard - On Road,-87.71,41.94
"(-87.67, 41.88)",Hazard,On Road,18,124,Hazard - On Road,-87.67,41.88
"(-87.66, 41.99)",Hazard,On Road,18,102,Hazard - On Road,-87.66,41.99
"(-87.68, 41.88)",Hazard,On Road,18,97,Hazard - On Road,-87.68,41.88
"(-87.64, 41.86)",Hazard,On Road,18,94,Hazard - On Road,-87.64,41.86
"(-87.65, 41.88)",Hazard,On Road,18,91,Hazard - On Road,-87.65,41.88
"(-87.64, 41.87)",Hazard,On Road,18,80,Hazard - On Road,-87.64,41.87
"(-87.65, 41.89)",Hazard,On Road,18,77,Hazard - On Road,-87.65,41.89
"(-87.62, 41.88)",Hazard,On Road,18,75,Hazard - On Road,-87.62,41.88
"(-87.74, 41.82)",Hazard,On Road,18,70,Hazard - On Road,-87.74,41.82
"(-87.66, 41.9)",Hazard,On Road,18,69,Hazard - On Road,-87.66,41.9
"(-87.62, 41.88)",Hazard,On Road,19,237,Hazard - On Road,-87.62,41.88
"(-87.64, 41.87)",Hazard,On Road,19,116,Hazard - On Road,-87.64,41.87
"(-87.71, 41.94)",Hazard,On Road,19,109,Hazard - On Road,-87.71,41.94
"(-87.65, 41.88)",Hazard,On Road,19,109,Hazard - On Road,-87.65,41.88
"(-87.64, 41.86)",Hazard,On Road,19,95,Hazard - On Road,-87.64,41.86
"(-87.74, 41.82)",Hazard,On Road,19,94,Hazard - On Road,-87.74,41.82
"(-87.67, 41.88)",Hazard,On Road,19,87,Hazard - On Road,-87.67,41.88
"(-87.66, 41.99)",Hazard,On Road,19,84,Hazard - On Road,-87.66,41.99
"(-87.75, 41.97)",Hazard,On Road,19,79,Hazard - On Road,-87.75,41.97
"(-87.63, 41.84)",Hazard,On Road,19,76,Hazard - On Road,-87.63,41.84
"(-87.65, 41.88)",Hazard,On Road,20,127,Hazard - On Road,-87.65,41.88
"(-87.64, 41.87)",Hazard,On Road,20,112,Hazard - On Road,-87.64,41.87
"(-87.66, 41.9)",Hazard,On Road,20,94,Hazard - On Road,-87.66,41.9
"(-87.67, 41.88)",Hazard,On Road,20,93,Hazard - On Road,-87.67,41.88
"(-87.74, 41.82)",Hazard,On Road,20,91,Hazard - On Road,-87.74,41.82
"(-87.66, 41.8)",Hazard,On Road,20,89,Hazard - On Road,-87.66,41.8
"(-87.65, 41.89)",Hazard,On Road,20,88,Hazard - On Road,-87.65,41.89
"(-87.64, 41.86)",Hazard,On Road,20,86,Hazard - On Road,-87.64,41.86
"(-87.63, 41.84)",Hazard,On Road,20,84,Hazard - On Road,-87.63,41.84
"(-87.75, 41.97)",Hazard,On Road,20,82,Hazard - On Road,-87.75,41.97
"(-87.62, 41.88)",Hazard,On Road,21,150,Hazard - On Road,-87.62,41.88
"(-87.65, 41.88)",Hazard,On Road,21,123,Hazard - On Road,-87.65,41.88
"(-87.64, 41.86)",Hazard,On Road,21,106,Hazard - On Road,-87.64,41.86
"(-87.67, 41.88)",Hazard,On Road,21,87,Hazard - On Road,-87.67,41.88
"(-87.65, 41.89)",Hazard,On Road,21,86,Hazard - On Road,-87.65,41.89
"(-87.7, 41.93)",Hazard,On Road,21,85,Hazard - On Road,-87.7,41.93
"(-87.64, 41.87)",Hazard,On Road,21,84,Hazard - On Road,-87.64,41.87
"(-87.62, 41.9)",Hazard,On Road,21,82,Hazard - On Road,-87.62,41.9
"(-87.75, 41.97)",Hazard,On Road,21,81,Hazard - On Road,-87.75,41.97
"(-87.66, 41.9)",Hazard,On Road,21,80,Hazard - On Road,-87.66,41.9
"(-87.67, 41.88)",Hazard,On Road,22,107,Hazard - On Road,-87.67,41.88
"(-87.64, 41.87)",Hazard,On Road,22,102,Hazard - On Road,-87.64,41.87
"(-87.65, 41.88)",Hazard,On Road,22,99,Hazard - On Road,-87.65,41.88
"(-87.62, 41.88)",Hazard,On Road,22,88,Hazard - On Road,-87.62,41.88
"(-87.65, 41.89)",Hazard,On Road,22,88,Hazard - On Road,-87.65,41.89
"(-87.62, 41.9)",Hazard,On Road,22,87,Hazard - On Road,-87.62,41.9
"(-87.76, 41.97)",Hazard,On Road,22,80,Hazard - On Road,-87.76,41.97
"(-87.75, 41.97)",Hazard,On Road,22,72,Hazard - On Road,-87.75,41.97
"(-87.74, 41.82)",Hazard,On Road,22,71,Hazard - On Road,-87.74,41.82
"(-87.64, 41.88)",Hazard,On Road,22,69,Hazard - On Road,-87.64,41.88
"(-87.65, 41.88)",Hazard,On Road,23,119,Hazard - On Road,-87.65,41.88
"(-87.62, 41.9)",Hazard,On Road,23,87,Hazard - On Road,-87.62,41.9
"(-87.64, 41.86)",Hazard,On Road,23,84,Hazard - On Road,-87.64,41.86
"(-87.67, 41.88)",Hazard,On Road,23,78,Hazard - On Road,-87.67,41.88
"(-87.61, 41.89)",Hazard,On Road,23,77,Hazard - On Road,-87.61,41.89
"(-87.69, 41.98)",Hazard,On Road,23,73,Hazard - On Road,-87.69,41.98
"(-87.66, 41.9)",Hazard,On Road,23,72,Hazard - On Road,-87.66,41.9
"(-87.67, 41.92)",Hazard,On Road,23,70,Hazard - On Road,-87.67,41.92
"(-87.64, 41.87)",Hazard,On Road,23,70,Hazard - On Road,-87.64,41.87
"(-87.71, 41.94)",Hazard,On Road,23,69,Hazard - On Road,-87.71,41.94
"(-87.65, 41.89)",Hazard,On Shoulder,0,174,Hazard - On Shoulder,-87.65,41.89
"(-87.65, 41.88)",Hazard,On Shoulder,0,167,Hazard - On Shoulder,-87.65,41.88
"(-87.63, 41.8)",Hazard,On Shoulder,0,153,Hazard - On Shoulder,-87.63,41.8
"(-87.66, 41.9)",Hazard,On Shoulder,0,153,Hazard - On Shoulder,-87.66,41.9
"(-87.63, 41.84)",Hazard,On Shoulder,0,145,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.82)",Hazard,On Shoulder,0,133,Hazard - On Shoulder,-87.63,41.82
"(-87.75, 41.97)",Hazard,On Shoulder,0,133,Hazard - On Shoulder,-87.75,41.97
"(-87.59, 41.66)",Hazard,On Shoulder,0,120,Hazard - On Shoulder,-87.59,41.66
"(-87.64, 41.87)",Hazard,On Shoulder,0,118,Hazard - On Shoulder,-87.64,41.87
"(-87.69, 41.93)",Hazard,On Shoulder,0,117,Hazard - On Shoulder,-87.69,41.93
"(-87.65, 41.89)",Hazard,On Shoulder,1,145,Hazard - On Shoulder,-87.65,41.89
"(-87.75, 41.97)",Hazard,On Shoulder,1,125,Hazard - On Shoulder,-87.75,41.97
"(-87.64, 41.87)",Hazard,On Shoulder,1,121,Hazard - On Shoulder,-87.64,41.87
"(-87.66, 41.9)",Hazard,On Shoulder,1,118,Hazard - On Shoulder,-87.66,41.9
"(-87.65, 41.88)",Hazard,On Shoulder,1,114,Hazard - On Shoulder,-87.65,41.88
"(-87.63, 41.84)",Hazard,On Shoulder,1,113,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.82)",Hazard,On Shoulder,1,104,Hazard - On Shoulder,-87.63,41.82
"(-87.61, 41.71)",Hazard,On Shoulder,1,103,Hazard - On Shoulder,-87.61,41.71
"(-87.59, 41.66)",Hazard,On Shoulder,1,98,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.8)",Hazard,On Shoulder,1,96,Hazard - On Shoulder,-87.63,41.8
"(-87.65, 41.89)",Hazard,On Shoulder,2,144,Hazard - On Shoulder,-87.65,41.89
"(-87.65, 41.88)",Hazard,On Shoulder,2,142,Hazard - On Shoulder,-87.65,41.88
"(-87.59, 41.66)",Hazard,On Shoulder,2,115,Hazard - On Shoulder,-87.59,41.66
"(-87.66, 41.9)",Hazard,On Shoulder,2,106,Hazard - On Shoulder,-87.66,41.9
"(-87.64, 41.87)",Hazard,On Shoulder,2,104,Hazard - On Shoulder,-87.64,41.87
"(-87.63, 41.84)",Hazard,On Shoulder,2,98,Hazard - On Shoulder,-87.63,41.84
"(-87.61, 41.71)",Hazard,On Shoulder,2,94,Hazard - On Shoulder,-87.61,41.71
"(-87.63, 41.82)",Hazard,On Shoulder,2,94,Hazard - On Shoulder,-87.63,41.82
"(-87.63, 41.79)",Hazard,On Shoulder,2,90,Hazard - On Shoulder,-87.63,41.79
"(-87.75, 41.97)",Hazard,On Shoulder,2,86,Hazard - On Shoulder,-87.75,41.97
"(-87.65, 41.89)",Hazard,On Shoulder,3,120,Hazard - On Shoulder,-87.65,41.89
"(-87.65, 41.88)",Hazard,On Shoulder,3,102,Hazard - On Shoulder,-87.65,41.88
"(-87.66, 41.9)",Hazard,On Shoulder,3,92,Hazard - On Shoulder,-87.66,41.9
"(-87.63, 41.84)",Hazard,On Shoulder,3,90,Hazard - On Shoulder,-87.63,41.84
"(-87.64, 41.87)",Hazard,On Shoulder,3,83,Hazard - On Shoulder,-87.64,41.87
"(-87.75, 41.97)",Hazard,On Shoulder,3,81,Hazard - On Shoulder,-87.75,41.97
"(-87.59, 41.66)",Hazard,On Shoulder,3,81,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.79)",Hazard,On Shoulder,3,71,Hazard - On Shoulder,-87.63,41.79
"(-87.63, 41.83)",Hazard,On Shoulder,3,71,Hazard - On Shoulder,-87.63,41.83
"(-87.62, 41.73)",Hazard,On Shoulder,3,69,Hazard - On Shoulder,-87.62,41.73
"(-87.65, 41.89)",Hazard,On Shoulder,4,97,Hazard - On Shoulder,-87.65,41.89
"(-87.63, 41.84)",Hazard,On Shoulder,4,79,Hazard - On Shoulder,-87.63,41.84
"(-87.65, 41.88)",Hazard,On Shoulder,4,76,Hazard - On Shoulder,-87.65,41.88
"(-87.63, 41.85)",Hazard,On Shoulder,4,71,Hazard - On Shoulder,-87.63,41.85
"(-87.64, 41.87)",Hazard,On Shoulder,4,63,Hazard - On Shoulder,-87.64,41.87
"(-87.66, 41.9)",Hazard,On Shoulder,4,59,Hazard - On Shoulder,-87.66,41.9
"(-87.63, 41.81)",Hazard,On Shoulder,4,55,Hazard - On Shoulder,-87.63,41.81
"(-87.62, 41.72)",Hazard,On Shoulder,4,55,Hazard - On Shoulder,-87.62,41.72
"(-87.66, 41.88)",Hazard,On Shoulder,4,54,Hazard - On Shoulder,-87.66,41.88
"(-87.73, 41.82)",Hazard,On Shoulder,4,54,Hazard - On Shoulder,-87.73,41.82
"(-87.63, 41.82)",Hazard,On Shoulder,5,52,Hazard - On Shoulder,-87.63,41.82
"(-87.65, 41.89)",Hazard,On Shoulder,5,51,Hazard - On Shoulder,-87.65,41.89
"(-87.65, 41.88)",Hazard,On Shoulder,5,48,Hazard - On Shoulder,-87.65,41.88
"(-87.6, 41.67)",Hazard,On Shoulder,5,47,Hazard - On Shoulder,-87.6,41.67
"(-87.64, 41.87)",Hazard,On Shoulder,5,47,Hazard - On Shoulder,-87.64,41.87
"(-87.66, 41.9)",Hazard,On Shoulder,5,47,Hazard - On Shoulder,-87.66,41.9
"(-87.63, 41.81)",Hazard,On Shoulder,5,46,Hazard - On Shoulder,-87.63,41.81
"(-87.63, 41.84)",Hazard,On Shoulder,5,45,Hazard - On Shoulder,-87.63,41.84
"(-87.61, 41.71)",Hazard,On Shoulder,5,38,Hazard - On Shoulder,-87.61,41.71
"(-87.63, 41.85)",Hazard,On Shoulder,5,37,Hazard - On Shoulder,-87.63,41.85
"(-87.65, 41.88)",Hazard,On Shoulder,6,47,Hazard - On Shoulder,-87.65,41.88
"(-87.63, 41.82)",Hazard,On Shoulder,6,42,Hazard - On Shoulder,-87.63,41.82
"(-87.66, 41.9)",Hazard,On Shoulder,6,36,Hazard - On Shoulder,-87.66,41.9
"(-87.65, 41.89)",Hazard,On Shoulder,6,36,Hazard - On Shoulder,-87.65,41.89
"(-87.63, 41.84)",Hazard,On Shoulder,6,33,Hazard - On Shoulder,-87.63,41.84
"(-87.6, 41.68)",Hazard,On Shoulder,6,31,Hazard - On Shoulder,-87.6,41.68
"(-87.63, 41.8)",Hazard,On Shoulder,6,31,Hazard - On Shoulder,-87.63,41.8
"(-87.61, 41.71)",Hazard,On Shoulder,6,31,Hazard - On Shoulder,-87.61,41.71
"(-87.63, 41.76)",Hazard,On Shoulder,6,30,Hazard - On Shoulder,-87.63,41.76
"(-87.64, 41.87)",Hazard,On Shoulder,6,30,Hazard - On Shoulder,-87.64,41.87
"(-87.6, 41.68)",Hazard,On Shoulder,7,37,Hazard - On Shoulder,-87.6,41.68
"(-87.63, 41.82)",Hazard,On Shoulder,7,36,Hazard - On Shoulder,-87.63,41.82
"(-87.61, 41.71)",Hazard,On Shoulder,7,35,Hazard - On Shoulder,-87.61,41.71
"(-87.59, 41.66)",Hazard,On Shoulder,7,30,Hazard - On Shoulder,-87.59,41.66
"(-87.64, 41.85)",Hazard,On Shoulder,7,30,Hazard - On Shoulder,-87.64,41.85
"(-87.63, 41.84)",Hazard,On Shoulder,7,28,Hazard - On Shoulder,-87.63,41.84
"(-87.64, 41.87)",Hazard,On Shoulder,7,28,Hazard - On Shoulder,-87.64,41.87
"(-87.63, 41.83)",Hazard,On Shoulder,7,27,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.81)",Hazard,On Shoulder,7,27,Hazard - On Shoulder,-87.63,41.81
"(-87.66, 41.9)",Hazard,On Shoulder,7,26,Hazard - On Shoulder,-87.66,41.9
"(-87.61, 41.71)",Hazard,On Shoulder,8,43,Hazard - On Shoulder,-87.61,41.71
"(-87.63, 41.79)",Hazard,On Shoulder,8,31,Hazard - On Shoulder,-87.63,41.79
"(-87.63, 41.82)",Hazard,On Shoulder,8,29,Hazard - On Shoulder,-87.63,41.82
"(-87.63, 41.8)",Hazard,On Shoulder,8,28,Hazard - On Shoulder,-87.63,41.8
"(-87.62, 41.72)",Hazard,On Shoulder,8,28,Hazard - On Shoulder,-87.62,41.72
"(-87.75, 41.97)",Hazard,On Shoulder,8,26,Hazard - On Shoulder,-87.75,41.97
"(-87.74, 41.82)",Hazard,On Shoulder,8,26,Hazard - On Shoulder,-87.74,41.82
"(-87.64, 41.87)",Hazard,On Shoulder,8,25,Hazard - On Shoulder,-87.64,41.87
"(-87.6, 41.67)",Hazard,On Shoulder,8,24,Hazard - On Shoulder,-87.6,41.67
"(-87.59, 41.66)",Hazard,On Shoulder,8,24,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.82)",Hazard,On Shoulder,9,46,Hazard - On Shoulder,-87.63,41.82
"(-87.59, 41.66)",Hazard,On Shoulder,9,42,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.84)",Hazard,On Shoulder,9,38,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.83)",Hazard,On Shoulder,9,37,Hazard - On Shoulder,-87.63,41.83
"(-87.61, 41.71)",Hazard,On Shoulder,9,36,Hazard - On Shoulder,-87.61,41.71
"(-87.75, 41.97)",Hazard,On Shoulder,9,35,Hazard - On Shoulder,-87.75,41.97
"(-87.6, 41.68)",Hazard,On Shoulder,9,33,Hazard - On Shoulder,-87.6,41.68
"(-87.6, 41.67)",Hazard,On Shoulder,9,32,Hazard - On Shoulder,-87.6,41.67
"(-87.63, 41.78)",Hazard,On Shoulder,9,31,Hazard - On Shoulder,-87.63,41.78
"(-87.66, 41.9)",Hazard,On Shoulder,9,31,Hazard - On Shoulder,-87.66,41.9
"(-87.61, 41.71)",Hazard,On Shoulder,10,95,Hazard - On Shoulder,-87.61,41.71
"(-87.59, 41.66)",Hazard,On Shoulder,10,83,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.82)",Hazard,On Shoulder,10,79,Hazard - On Shoulder,-87.63,41.82
"(-87.73, 41.82)",Hazard,On Shoulder,10,69,Hazard - On Shoulder,-87.73,41.82
"(-87.63, 41.8)",Hazard,On Shoulder,10,68,Hazard - On Shoulder,-87.63,41.8
"(-87.63, 41.81)",Hazard,On Shoulder,10,67,Hazard - On Shoulder,-87.63,41.81
"(-87.75, 41.97)",Hazard,On Shoulder,10,65,Hazard - On Shoulder,-87.75,41.97
"(-87.62, 41.72)",Hazard,On Shoulder,10,64,Hazard - On Shoulder,-87.62,41.72
"(-87.63, 41.83)",Hazard,On Shoulder,10,63,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.84)",Hazard,On Shoulder,10,62,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.84)",Hazard,On Shoulder,11,118,Hazard - On Shoulder,-87.63,41.84
"(-87.59, 41.66)",Hazard,On Shoulder,11,111,Hazard - On Shoulder,-87.59,41.66
"(-87.63, 41.82)",Hazard,On Shoulder,11,111,Hazard - On Shoulder,-87.63,41.82
"(-87.63, 41.83)",Hazard,On Shoulder,11,107,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.81)",Hazard,On Shoulder,11,104,Hazard - On Shoulder,-87.63,41.81
"(-87.63, 41.8)",Hazard,On Shoulder,11,103,Hazard - On Shoulder,-87.63,41.8
"(-87.6, 41.68)",Hazard,On Shoulder,11,102,Hazard - On Shoulder,-87.6,41.68
"(-87.62, 41.73)",Hazard,On Shoulder,11,99,Hazard - On Shoulder,-87.62,41.73
"(-87.73, 41.82)",Hazard,On Shoulder,11,91,Hazard - On Shoulder,-87.73,41.82
"(-87.61, 41.71)",Hazard,On Shoulder,11,88,Hazard - On Shoulder,-87.61,41.71
"(-87.63, 41.84)",Hazard,On Shoulder,12,158,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.83)",Hazard,On Shoulder,12,157,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.82)",Hazard,On Shoulder,12,147,Hazard - On Shoulder,-87.63,41.82
"(-87.75, 41.97)",Hazard,On Shoulder,12,138,Hazard - On Shoulder,-87.75,41.97
"(-87.63, 41.79)",Hazard,On Shoulder,12,137,Hazard - On Shoulder,-87.63,41.79
"(-87.63, 41.81)",Hazard,On Shoulder,12,137,Hazard - On Shoulder,-87.63,41.81
"(-87.73, 41.82)",Hazard,On Shoulder,12,132,Hazard - On Shoulder,-87.73,41.82
"(-87.63, 41.85)",Hazard,On Shoulder,12,128,Hazard - On Shoulder,-87.63,41.85
"(-87.63, 41.8)",Hazard,On Shoulder,12,126,Hazard - On Shoulder,-87.63,41.8
"(-87.74, 41.96)",Hazard,On Shoulder,12,121,Hazard - On Shoulder,-87.74,41.96
"(-87.63, 41.82)",Hazard,On Shoulder,13,218,Hazard - On Shoulder,-87.63,41.82
"(-87.63, 41.84)",Hazard,On Shoulder,13,201,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.83)",Hazard,On Shoulder,13,171,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.85)",Hazard,On Shoulder,13,168,Hazard - On Shoulder,-87.63,41.85
"(-87.63, 41.81)",Hazard,On Shoulder,13,164,Hazard - On Shoulder,-87.63,41.81
"(-87.73, 41.87)",Hazard,On Shoulder,13,152,Hazard - On Shoulder,-87.73,41.87
"(-87.63, 41.8)",Hazard,On Shoulder,13,151,Hazard - On Shoulder,-87.63,41.8
"(-87.63, 41.79)",Hazard,On Shoulder,13,148,Hazard - On Shoulder,-87.63,41.79
"(-87.74, 41.96)",Hazard,On Shoulder,13,143,Hazard - On Shoulder,-87.74,41.96
"(-87.75, 41.97)",Hazard,On Shoulder,13,135,Hazard - On Shoulder,-87.75,41.97
"(-87.63, 41.84)",Hazard,On Shoulder,14,221,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.82)",Hazard,On Shoulder,14,212,Hazard - On Shoulder,-87.63,41.82
"(-87.63, 41.83)",Hazard,On Shoulder,14,181,Hazard - On Shoulder,-87.63,41.83
"(-87.73, 41.87)",Hazard,On Shoulder,14,179,Hazard - On Shoulder,-87.73,41.87
"(-87.63, 41.8)",Hazard,On Shoulder,14,175,Hazard - On Shoulder,-87.63,41.8
"(-87.63, 41.85)",Hazard,On Shoulder,14,166,Hazard - On Shoulder,-87.63,41.85
"(-87.63, 41.81)",Hazard,On Shoulder,14,165,Hazard - On Shoulder,-87.63,41.81
"(-87.63, 41.79)",Hazard,On Shoulder,14,158,Hazard - On Shoulder,-87.63,41.79
"(-87.75, 41.97)",Hazard,On Shoulder,14,157,Hazard - On Shoulder,-87.75,41.97
"(-87.75, 41.87)",Hazard,On Shoulder,14,150,Hazard - On Shoulder,-87.75,41.87
"(-87.63, 41.84)",Hazard,On Shoulder,15,259,Hazard - On Shoulder,-87.63,41.84
"(-87.63, 41.82)",Hazard,On Shoulder,15,203,Hazard - On Shoulder,-87.63,41.82
"(-87.75, 41.87)",Hazard,On Shoulder,15,176,Hazard - On Shoulder,-87.75,41.87
"(-87.63, 41.8)",Hazard,On Shoulder,15,168,Hazard - On Shoulder,-87.63,41.8
"(-87.63, 41.83)",Hazard,On Shoulder,15,162,Hazard - On Shoulder,-87.63,41.83
"(-87.63, 41.85)",Hazard,On Shoulder,15,161,Hazard - On Shoulder,-87.63,41.85
"(-87.73, 41.87)",Hazard,On Shoulder,15,160,Hazard - On Shoulder,-87.73,41.87
"(-87.63, 41.81)",Hazard,On Shoulder,15,155,Hazard - On Shoulder,-87.63,41.81
"(-87.75, 41.97)",Hazard,On Shoulder,15,148,Hazard - On Shoulder,-87.75,41.97
"(-87.71, 41.87)",Hazard,On Shoulder,15,148,Hazard - On Shoulder,-87.71,41.87
"(-87.63, 41.84)",Hazard,On Shoulder,16,187,Hazard - On Shoulder,-87.63,41.84
"(-87.73, 41.87)",Hazard,On Shoulder,16,159,Hazard - On Shoulder,-87.73,41.87
"(-87.66, 41.9)",Hazard,On Shoulder,16,155,Hazard - On Shoulder,-87.66,41.9
"(-87.63, 41.8)",Hazard,On Shoulder,16,152,Hazard - On Shoulder,-87.63,41.8
"(-87.63, 41.82)",Hazard,On Shoulder,16,151,Hazard - On Shoulder,-87.63,41.82
"(-87.72, 41.87)",Hazard,On Shoulder,16,151,Hazard - On Shoulder,-87.72,41.87
"(-87.63, 41.81)",Hazard,On Shoulder,16,143,Hazard - On Shoulder,-87.63,41.81
"(-87.65, 41.89)",Hazard,On Shoulder,16,143,Hazard - On Shoulder,-87.65,41.89
"(-87.75, 41.97)",Hazard,On Shoulder,16,140,Hazard - On Shoulder,-87.75,41.97
"(-87.63, 41.79)",Hazard,On Shoulder,16,139,Hazard - On Shoulder,-87.63,41.79
"(-87.63, 41.84)",Hazard,On Shoulder,17,215,Hazard - On Shoulder,-87.63,41.84
"(-87.65, 41.89)",Hazard,On Shoulder,17,191,Hazard - On Shoulder,-87.65,41.89
"(-87.63, 41.79)",Hazard,On Shoulder,17,169,Hazard - On Shoulder,-87.63,41.79
"(-87.73, 41.82)",Hazard,On Shoulder,17,166,Hazard - On Shoulder,-87.73,41.82
"(-87.73, 41.87)",Hazard,On Shoulder,17,166,Hazard - On Shoulder,-87.73,41.87
"(-87.63, 41.83)",Hazard,On Shoulder,17,160,Hazard - On Shoulder,-87.63,41.83
"(-87.75, 41.97)",Hazard,On Shoulder,17,156,Hazard - On Shoulder,-87.75,41.97
"(-87.75, 41.87)",Hazard,On Shoulder,17,156,Hazard - On Shoulder,-87.75,41.87
