binned_coordinates,updated_type,updated_subtype,Count,type_subtype,longitude,latitude
"(-87.65, 41.89)",Jam,Heavy Traffic,4194,Jam - Heavy Traffic,-87.65,41.89
"(-87.74, 41.96)",Jam,Heavy Traffic,2945,Jam - Heavy Traffic,-87.74,41.96
"(-87.76, 41.97)",Jam,Heavy Traffic,2752,Jam - Heavy Traffic,-87.76,41.97
"(-87.71, 41.94)",Jam,Heavy Traffic,2731,Jam - Heavy Traffic,-87.71,41.94
"(-87.69, 41.93)",Jam,Heavy Traffic,2514,Jam - Heavy Traffic,-87.69,41.93
"(-87.67, 41.92)",Jam,Heavy Traffic,2458,Jam - Heavy Traffic,-87.67,41.92
"(-87.78, 41.98)",Jam,Heavy Traffic,2428,Jam - Heavy Traffic,-87.78,41.98
"(-87.75, 41.97)",Jam,Heavy Traffic,2399,Jam - Heavy Traffic,-87.75,41.97
"(-87.81, 41.92)",Jam,Light Traffic,1,Jam - Light Traffic,-87.81,41.92
"(-87.62, 41.88)",Jam,Light Traffic,1,Jam - Light Traffic,-87.62,41.88
"(-87.63, 41.88)",Jam,Light Traffic,1,Jam - Light Traffic,-87.63,41.88
"(-87.71, 41.84)",Jam,Light Traffic,1,Jam - Light Traffic,-87.71,41.84
"(-87.62, 41.86)",Jam,Light Traffic,1,Jam - Light Traffic,-87.62,41.86
"(-87.67, 41.92)",Jam,Moderate Traffic,91,Jam - Moderate Traffic,-87.67,41.92
"(-87.66, 41.9)",Jam,Moderate Traffic,88,Jam - Moderate Traffic,-87.66,41.9
"(-87.65, 41.89)",Jam,Moderate Traffic,70,Jam - Moderate Traffic,-87.65,41.89
"(-87.75, 41.97)",Jam,Moderate Traffic,69,Jam - Moderate Traffic,-87.75,41.97
"(-87.79, 41.98)",Jam,Moderate Traffic,65,Jam - Moderate Traffic,-87.79,41.98
"(-87.68, 41.92)",Jam,Moderate Traffic,65,Jam - Moderate Traffic,-87.68,41.92
"(-87.71, 41.94)",Jam,Moderate Traffic,64,Jam - Moderate Traffic,-87.71,41.94
"(-87.69, 41.93)",Jam,Moderate Traffic,63,Jam - Moderate Traffic,-87.69,41.93
"(-87.65, 41.88)",Jam,Moderate Traffic,60,Jam - Moderate Traffic,-87.65,41.88
"(-87.73, 41.82)",Jam,Moderate Traffic,60,Jam - Moderate Traffic,-87.73,41.82
"(-87.65, 41.88)",Jam,Stand-Still Traffic,4666,Jam - Stand-Still Traffic,-87.65,41.88
"(-87.65, 41.89)",Jam,Stand-Still Traffic,4278,Jam - Stand-Still Traffic,-87.65,41.89
"(-87.66, 41.9)",Jam,Stand-Still Traffic,3563,Jam - Stand-Still Traffic,-87.66,41.9
"(-87.76, 41.97)",Jam,Stand-Still Traffic,2503,Jam - Stand-Still Traffic,-87.76,41.97
"(-87.75, 41.98)",Jam,Stand-Still Traffic,2347,Jam - Stand-Still Traffic,-87.75,41.98
"(-87.74, 41.96)",Jam,Stand-Still Traffic,2287,Jam - Stand-Still Traffic,-87.74,41.96
"(-87.75, 41.97)",Jam,Stand-Still Traffic,2079,Jam - Stand-Still Traffic,-87.75,41.97
"(-87.71, 41.94)",Jam,Stand-Still Traffic,1983,Jam - Stand-Still Traffic,-87.71,41.94
"(-87.73, 41.95)",Jam,Stand-Still Traffic,1972,Jam - Stand-Still Traffic,-87.73,41.95
